dataset,method,run,separability_auc
Breast Cancer,GMM-guided SMOTE,20,0.5487540628385699
Breast Cancer,GMM-guided SMOTE,21,0.5701763025706688
Breast Cancer,GMM-guided SMOTE,22,0.5507239239633606
Breast Cancer,GMM-guided SMOTE,23,0.5904904954200729
Breast Cancer,GMM-guided SMOTE,24,0.6421008568895893
Breast Cancer,GMM-guided SMOTE,25,0.5833251255786467
Breast Cancer,GMM-guided SMOTE,26,0.6103368462523393
Breast Cancer,GMM-guided SMOTE,27,0.5443464985718507
Breast Cancer,GMM-guided SMOTE,28,0.5646360681571949
Breast Cancer,GMM-guided SMOTE,29,0.5973111395646608
Breast Cancer,GMM-guided SMOTE,30,0.5673446272037821
Breast Cancer,GMM-guided SMOTE,31,0.5325027085590466
Breast Cancer,GMM-guided SMOTE,32,0.5952674086476903
Breast Cancer,GMM-guided SMOTE,33,0.5601792573623559
Breast Cancer,GMM-guided SMOTE,34,0.5704717817393874
Breast Cancer,GMM-guided SMOTE,35,0.6005367871565055
Breast Cancer,GMM-guided SMOTE,36,0.5596129222889786
Breast Cancer,GMM-guided SMOTE,37,0.575199448438885
Breast Cancer,GMM-guided SMOTE,38,0.5552299812863193
Breast Cancer,GMM-guided SMOTE,39,0.6200384122919335
Breast Cancer,GMM-guided SMOTE,40,0.5869939919235694
Breast Cancer,GMM-guided SMOTE,41,0.5636511375947996
Breast Cancer,GMM-guided SMOTE,42,0.5659411011523687
Breast Cancer,GMM-guided SMOTE,43,0.6057815424012607
Breast Cancer,GMM-guided SMOTE,44,0.5761351324731607
Breast Cancer,GMM-guided SMOTE,45,0.5409484881315867
Breast Cancer,GMM-guided SMOTE,46,0.5532601201615286
Breast Cancer,GMM-guided SMOTE,47,0.5506746774352408
Breast Cancer,GMM-guided SMOTE,48,0.5718014379986212
Breast Cancer,GMM-guided SMOTE,49,0.5655963754555304
Breast Cancer,CVAE,0,0.7168570865753964
Breast Cancer,CVAE,1,0.7363833349748842
Breast Cancer,CVAE,2,0.7413818575790407
Breast Cancer,CVAE,3,0.8039003250270855
Breast Cancer,CVAE,4,0.7577070816507435
Breast Cancer,CVAE,5,0.7564759184477494
Breast Cancer,CVAE,6,0.7525854427262878
Breast Cancer,CVAE,7,0.7797202797202797
Breast Cancer,CVAE,8,0.7548261597557373
Breast Cancer,CVAE,9,0.7837584950261006
Breast Cancer,CVAE,10,0.8350487540628386
Breast Cancer,CVAE,11,0.8123461045996256
Breast Cancer,CVAE,12,0.7821333595981482
Breast Cancer,CVAE,13,0.8074953215798286
Breast Cancer,CVAE,14,0.7722594307101349
Breast Cancer,CVAE,15,0.76056338028169
Breast Cancer,CVAE,16,0.8068551167142717
Breast Cancer,CVAE,17,0.7860730818477297
Breast Cancer,CVAE,18,0.7423914114054957
Breast Cancer,CVAE,19,0.782847434255885
Breast Cancer,CVAE,20,0.7868856495617059
Breast Cancer,CVAE,21,0.7701418300009849
Breast Cancer,CVAE,22,0.7713483699399192
Breast Cancer,CVAE,23,0.7946173544765094
Breast Cancer,CVAE,24,0.6766472963656063
Breast Cancer,CVAE,25,0.7656111494139662
Breast Cancer,CVAE,26,0.7538412291933418
Breast Cancer,CVAE,27,0.7980153649167734
Breast Cancer,CVAE,28,0.8152762730227519
Breast Cancer,CVAE,29,0.8259873928888013
Breast Cancer,CVAE,30,0.7338717620407761
Breast Cancer,CVAE,31,0.797227420466857
Breast Cancer,CVAE,32,0.7987048163104501
Breast Cancer,CVAE,33,0.7770609672018123
Breast Cancer,CVAE,34,0.8418447749433665
Breast Cancer,CVAE,35,0.7981631045011326
Breast Cancer,CVAE,36,0.7396336058307889
Breast Cancer,CVAE,37,0.7524377031419285
Breast Cancer,CVAE,38,0.776888604353393
Breast Cancer,CVAE,39,0.7694031320791885
Breast Cancer,CVAE,40,0.8154978823992909
Breast Cancer,CVAE,41,0.7939279030828327
Breast Cancer,CVAE,42,0.8116074066778293
Breast Cancer,CVAE,43,0.7265340293509308
Breast Cancer,CVAE,44,0.8424603565448637
Breast Cancer,CVAE,45,0.7635181719688762
Breast Cancer,CVAE,46,0.7623608785580616
Breast Cancer,CVAE,47,0.7221510883482714
Breast Cancer,CVAE,48,0.787501231163203
Breast Cancer,CVAE,49,0.7711760070915
Diabetes,Bootstrap,0,0.7210557725694444
Diabetes,Bootstrap,1,0.7102728949652778
Diabetes,Bootstrap,2,0.7490912543402778
Diabetes,Bootstrap,3,0.6982421875
Diabetes,Bootstrap,4,0.7460259331597222
Diabetes,Bootstrap,5,0.7172173394097222
Diabetes,Bootstrap,6,0.6932101779513888
Diabetes,Bootstrap,7,0.7471245659722222
Diabetes,Bootstrap,8,0.7081570095486112
Diabetes,Bootstrap,9,0.6636555989583333
Diabetes,Bootstrap,10,0.6935763888888888
Diabetes,Bootstrap,11,0.7304551866319444
Diabetes,Bootstrap,12,0.7130940755208334
Diabetes,Bootstrap,13,0.7473687065972222
Diabetes,Bootstrap,14,0.6841905381944444
Diabetes,Bootstrap,15,0.6959228515625
Diabetes,Bootstrap,16,0.6984185112847222
Diabetes,Bootstrap,17,0.7314588758680556
Diabetes,Bootstrap,18,0.7353922526041667
Diabetes,Bootstrap,19,0.7175835503472222
Diabetes,Bootstrap,20,0.7100558810763888
Diabetes,Bootstrap,21,0.7082926432291666
Diabetes,Bootstrap,22,0.7120903862847222
Diabetes,Bootstrap,23,0.71435546875
Diabetes,Bootstrap,24,0.6952039930555556
Diabetes,Bootstrap,25,0.7371690538194444
Diabetes,Bootstrap,26,0.6979437934027778
Diabetes,Bootstrap,27,0.6945393880208334
Diabetes,Bootstrap,28,0.6943088107638888
Diabetes,Bootstrap,29,0.7318250868055556
Diabetes,Bootstrap,30,0.7096625434027778
Diabetes,Bootstrap,31,0.7219645182291667
Diabetes,Bootstrap,32,0.7258978949652778
Diabetes,Bootstrap,33,0.714748806423611
Diabetes,Bootstrap,34,0.7250705295138888
Diabetes,Bootstrap,35,0.7094319661458333
Diabetes,Bootstrap,36,0.7752549913194444
Diabetes,Bootstrap,37,0.7386067708333333
Diabetes,Bootstrap,38,0.6963975694444444
Diabetes,Bootstrap,39,0.6883816189236112
Diabetes,Bootstrap,40,0.7150065104166667
Diabetes,Bootstrap,41,0.6897650824652778
Diabetes,Bootstrap,42,0.6809895833333334
Diabetes,Bootstrap,43,0.6848958333333334
Diabetes,Bootstrap,44,0.735595703125
Diabetes,Bootstrap,45,0.7453748914930556
Diabetes,Bootstrap,46,0.744873046875
Diabetes,Bootstrap,47,0.7303873697916666
Diabetes,Bootstrap,48,0.6994222005208334
Diabetes,Bootstrap,49,0.7581787109375
Diabetes,Column-wise,0,0.790011935763889
Diabetes,Column-wise,1,0.757961697048611
Diabetes,Column-wise,2,0.7570122612847222
Diabetes,Column-wise,3,0.7452799479166665
Diabetes,Column-wise,4,0.7671305338541666
Diabetes,Column-wise,5,0.7358534071180556
Diabetes,Column-wise,6,0.7709011501736112
Diabetes,Column-wise,7,0.733981662326389
Diabetes,Column-wise,8,0.7742241753472222
Diabetes,Column-wise,9,0.7634412977430555
Diabetes,Column-wise,10,0.7855902777777779
Diabetes,Column-wise,11,0.8141004774305556
Diabetes,Column-wise,12,0.7763807508680555
Diabetes,Column-wise,13,0.7627631293402779
Diabetes,Column-wise,14,0.7371419270833333
Diabetes,Column-wise,15,0.7591959635416666
Diabetes,Column-wise,16,0.7851969401041666
Diabetes,Column-wise,17,0.7423773871527778
Diabetes,Column-wise,18,0.7648247612847222
Diabetes,Column-wise,19,0.7923448350694444
Diabetes,Column-wise,20,0.7743869357638888
Diabetes,Column-wise,21,0.7553982204861112
Diabetes,Column-wise,22,0.7629258897569444
Diabetes,Column-wise,23,0.7588975694444444
Diabetes,Column-wise,24,0.7734103732638888
Diabetes,Column-wise,25,0.7652587890625
Diabetes,Column-wise,26,0.7701416015625
Diabetes,Column-wise,27,0.7850613064236112
Diabetes,Column-wise,28,0.7456732855902777
Diabetes,Column-wise,29,0.799655490451389
Diabetes,Column-wise,30,0.7389322916666667
Diabetes,Column-wise,31,0.7942979600694444
Diabetes,Column-wise,32,0.7439371744791666
Diabetes,Column-wise,33,0.7572564019097221
Diabetes,Column-wise,34,0.7837185329861112
Diabetes,Column-wise,35,0.7779269748263888
