dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
Diabetes,CVAE,15,0.6083150984682714,0.6291838540516805,0.02086875558340917
Diabetes,CVAE,16,0.6136865342163356,0.6008207399687338,0.012865794247601814
Diabetes,CVAE,17,0.6147186147186147,0.6181328578875844,0.003414243168969766
Diabetes,CVAE,18,0.6223175965665236,0.6274351146454851,0.005117518078961436
Diabetes,CVAE,19,0.6193548387096774,0.6365643879667371,0.017209549257059642
HIV,GMM,0,0.9710144927536232,0.9787994891443168,0.007784996390693633
HIV,GMM,1,0.9855072463768116,0.9574844006568146,0.028022845719997025
HIV,GMM,2,0.9781021897810219,0.9714103265827404,0.006691863198281522
HIV,GMM,3,0.9710144927536232,0.9718518518518519,0.0008373590982286849
HIV,GMM,4,0.9855072463768116,0.9653333333333334,0.020173913043478264
