dataset,n_features,linkage,metric,requested_k,actual_k,largest_cluster,cluster_sizes,silhouette,ari_to_current
Diabetes,8,average,euclidean,3,3,5,"5,2,1",0.2174369345937162,
Diabetes,8,average,euclidean,4,4,3,"3,2,2,1",0.27980375605428986,1.0
Diabetes,8,average,euclidean,5,5,3,"3,2,1,1,1",0.20116117995601446,
Diabetes,8,average,euclidean,6,6,2,"2,2,1,1,1,1",0.15065314043700895,
Diabetes,8,average,euclidean,7,7,2,"2,1,1,1,1,1,1",0.09663199088585023,
Diabetes,8,average,cosine,3,3,3,"3,3,2",0.5030607860683216,
Diabetes,8,average,cosine,4,4,3,"3,2,2,1",0.47618289771260164,1.0
Diabetes,8,average,cosine,5,5,2,"2,2,2,1,1",0.325258899144688,
Diabetes,8,average,cosine,6,6,2,"2,2,1,1,1,1",0.22234534619206345,
Diabetes,8,average,cosine,7,7,2,"2,1,1,1,1,1,1",0.17066704014819412,
Diabetes,8,average,correlation,3,3,3,"3,3,2",0.43830003271331763,
Diabetes,8,average,correlation,4,4,3,"3,2,2,1",0.4117963554380174,1.0
Diabetes,8,average,correlation,5,5,2,"2,2,2,1,1",0.31298791505343443,
Diabetes,8,average,correlation,6,6,2,"2,2,1,1,1,1",0.24294858545725756,
Diabetes,8,average,correlation,7,7,2,"2,1,1,1,1,1,1",0.16515295274101202,
Diabetes,8,ward,euclidean,3,3,3,"3,3,2",0.2414276632539574,
Diabetes,8,ward,euclidean,4,4,3,"3,2,2,1",0.27980375605428986,1.0
Diabetes,8,ward,euclidean,5,5,2,"2,2,2,1,1",0.19592205686059455,
Diabetes,8,ward,euclidean,6,6,2,"2,2,1,1,1,1",0.15065314043700895,
Diabetes,8,ward,euclidean,7,7,2,"2,1,1,1,1,1,1",0.09663199088585023,
